11,Beijing,Běijīng 北京
12,Tianjin,Tiānjīn 天津
13,Hebei,Héběi 河北
14,Shanxi,Shānxī 山西
15,Inner Mongol,Nèi Ménggǔ 内蒙古
21,Liaoning,Liáoníng 辽宁
22,Jilin,Jílín 吉林
23,Heilongjiang,Hēilóngjiāng 黑龙江
31,Shanghai,Shànghǎi 上海
32,Jiangsu,Jiāngsū 江苏
33,Zhejiang,Zhèjiāng 浙江
34,Anhui,Ānhuī 安徽
35,Fujian,Fújiàn 福建
36,Jiangxi,Jiāngxī 江西
37,Shandong,Shāndōng 山东
41,Henan,Hénán 河南
42,Hubei,Húběi 湖北
43,Hunan,Húnán 湖南
44,Guangdong,Guǎngdōng 广东
45,Guangxi,Guǎngxī 广西
46,Hainan,Hǎinán 海南
50,Chongqing,Chóngqìng 重庆
51,Sichuan,Sìchuān 四川
52,Guizhou,Guìzhōu 贵州
53,Yunnan,Yúnnán 云南
54,Xizang,Xīzàng 西藏
61,Shaanxi,Shǎnxī 陕西
62,Gansu,Gānsù 甘肃
63,Qinghai,Qīnghǎi 青海
64,Ningxia,Níngxià 宁夏
65,Xinjiang,Xīnjiāng 新疆
71,Taiwan,Táiwān 台湾
81,Xianggang,Xiānggǎng 香港
82,Aomen,Àomén 澳门
100,Qita,Qítā 其他
400,Haiwai,Hǎiwài 海外
1033,1033,Unknown (SW code: 1033)
1035,1035,Unknown (SW code: 1035)
1044,1044,Unknown (SW code: 1044)
1100,1100,Unknown (SW code: 1100)
0,0,Unknown (SW code: 0)
